old_code,old_category_path,new_code,new_category_path,similarity_score,match_status
23100101,TV/냉장고/세탁기 > 드럼세탁기 > LG 트롬 > 세탁전용,6223655,TV/냉장고/세탁기 > 드럼세탁기 > LG 트롬 > 세탁전용,100.00%,high_confidence
23100200,TV/냉장고/세탁기 > 드럼세탁기 > 대우 클라쎄 > 세탁+건조,6223656,TV/냉장고/세탁기 > 드럼세탁기 > 대우 클라쎄 > 세탁+건조,100.00%,high_confidence
23100300,TV/냉장고/세탁기 > 드럼세탁기 > 삼성 하우젠 > 세탁+건조,6223658,TV/냉장고/세탁기 > 드럼세탁기 > 삼성 하우젠 > 세탁+건조,100.00%,high_confidence
23130200,TV/냉장고/세탁기 > 스피커 > 북쉘프,6223669,TV/냉장고/세탁기 > 스피커 > 북쉘프,100.00%,high_confidence
23100301,TV/냉장고/세탁기 > 드럼세탁기 > 삼성 하우젠 > 세탁전용,6223659,TV/냉장고/세탁기 > 드럼세탁기 > 삼성 하우젠 > 세탁전용,100.00%,high_confidence
23100400,TV/냉장고/세탁기 > 드럼세탁기 > 해외브랜드,6223660,TV/냉장고/세탁기 > 드럼세탁기 > 해외브랜드,100.00%,high_confidence
23110100,TV/냉장고/세탁기 > 리퍼/반품/전시 > TV/홈씨어터,6223661,TV/냉장고/세탁기 > 리퍼/반품/전시 > TV/홈씨어터,100.00%,high_confidence
23110200,TV/냉장고/세탁기 > 리퍼/반품/전시 > 기타가전,6223662,TV/냉장고/세탁기 > 리퍼/반품/전시 > 기타가전,100.00%,high_confidence
23110300,TV/냉장고/세탁기 > 리퍼/반품/전시 > 냉장고/세탁기,6223663,TV/냉장고/세탁기 > 리퍼/반품/전시 > 냉장고/세탁기,100.00%,high_confidence
23110400,TV/냉장고/세탁기 > 리퍼/반품/전시 > 음향/오디오/스피커,6223664,TV/냉장고/세탁기 > 리퍼/반품/전시 > 음향/오디오/스피커,100.00%,high_confidence
23120100,TV/냉장고/세탁기 > 브라운관TV > LG,6223665,TV/냉장고/세탁기 > 브라운관TV > LG,100.00%,high_confidence
23120200,TV/냉장고/세탁기 > 브라운관TV > 삼성,6223666,TV/냉장고/세탁기 > 브라운관TV > 삼성,100.00%,high_confidence
